FID,x,y,lineament_dens,drainage_dens,curah_hujan,litologi,slope,elevasi,potensi
1758,108.2728,-7.38952,0.228536,189.9586,250,Breksi_dan_Piroklastik_Muda,3,5,Baik
1759,108.2227,-7.38585,0.12099,149.9673,250,Breksi_dan_Piroklastik_Muda,2,5,Baik
1760,108.2277,-7.38585,0.12099,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1761,108.2327,-7.38585,0.12099,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1762,108.2377,-7.38585,0.12099,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1763,108.2427,-7.38585,0.147876,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1764,108.2477,-7.38585,0.147876,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1765,108.2527,-7.38585,0.174763,129.9717,250,Breksi_dan_Piroklastik_Muda,2,6,Baik
1766,108.2577,-7.38585,0.174763,149.9673,250,Breksi_dan_Piroklastik_Muda,1,5,Baik
1767,108.2627,-7.38585,0.174763,149.9673,250,Breksi_dan_Piroklastik_Muda,1,5,Baik
1768,108.2678,-7.38585,0.201649,169.963,250,Breksi_dan_Piroklastik_Muda,1,5,Baik
1769,108.2728,-7.38585,0.201649,169.963,250,Breksi_dan_Piroklastik_Muda,2,5,Baik
1770,108.2778,-7.38585,0.228536,189.9586,250,Breksi_dan_Piroklastik_Muda,2,5,Baik
1771,108.2227,-7.38218,0.094103,149.9673,250,Breksi_dan_Piroklastik_Muda,2,5,Baik
1772,108.2277,-7.38218,0.094103,149.9673,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1773,108.2327,-7.38218,0.094103,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1774,108.2377,-7.38218,0.094103,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1775,108.2427,-7.38218,0.12099,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1776,108.2477,-7.38218,0.12099,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1777,108.2527,-7.38218,0.147876,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1778,108.2577,-7.38218,0.147876,149.9673,250,Breksi_dan_Piroklastik_Muda,1,5,Baik
1779,108.2627,-7.38218,0.174763,149.9673,250,Breksi_dan_Piroklastik_Muda,1,5,Baik
1780,108.2678,-7.38218,0.174763,169.963,250,Breksi_dan_Piroklastik_Muda,2,5,Baik
1781,108.2728,-7.38218,0.201649,169.963,250,Breksi_dan_Piroklastik_Muda,1,5,Baik
1782,108.2778,-7.38218,0.228536,169.963,250,Breksi_dan_Piroklastik_Muda,2,5,Baik
1783,108.2177,-7.37851,0.067216,169.963,250,Breksi_Gunung_Api,1,5,Baik
1784,108.2227,-7.37851,0.067216,149.9673,250,Breksi_dan_Piroklastik_Muda,1,5,Baik
1785,108.2277,-7.37851,0.067216,149.9673,250,Breksi_dan_Piroklastik_Muda,2,6,Baik
1786,108.2327,-7.37851,0.067216,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1787,108.2377,-7.37851,0.067216,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1788,108.2427,-7.37851,0.094103,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1789,108.2477,-7.37851,0.094103,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1790,108.2527,-7.37851,0.12099,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1791,108.2577,-7.37851,0.147876,149.9673,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
